id,user_id,name,date,amount,recurring
314,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Netflix,2024-01-31,7.56,1
320,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Netflix,2024-10-10,8.32,1
662,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2024-04-29,6.99,1
1433,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Credit Genie,2024-03-29,4.99,1
2300,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-11-04,6.48,1
2308,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-12-09,6.48,1
2315,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-01-21,6.48,1
2320,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-02-28,6.48,1
2360,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-01-24,6.48,1
2734,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,GEICO,2022-05-13,254.13,1
3082,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Netflix,2025-01-21,24.89,1
3687,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Amazon Prime           Amzn.com/billWAUS,2024-11-03,7.41,1
4090,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,NETFLIX.COM            NETFLIX.COM  CAUS,2024-08-15,16.73,1
4622,QFjGXqKHwdsLSAXaTjOfKRIaOxIQwYmL,Amazon Prime,2024-10-04,16.04,0
12116,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2024-11-20,24.89,1
12125,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2025-01-20,24.89,1
12208,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-06-15,9.99,1
12220,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-12-15,9.99,1
13763,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE      888-863-8768 WAUS,2024-09-03,130.11,1
13764,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE MOBI 888-863-8768 WAUS,2024-10-29,28.91,1
13767,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE MOBI 888-863-8768 WAUS,2024-12-10,100.0,1
14673,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2022-11-14,9.99,0
14681,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-02-13,10.99,0
14683,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-03-13,10.99,0
15653,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Prudential,2024-09-09,46.0,1
16685,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Hulu,2024-11-05,12.98,1
16998,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,AT&T,2023-06-01,146.55,1
17235,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Brigit,2025-01-02,14.99,1
20716,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-17,16.14,1
20719,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-20,16.14,1
20725,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-07-11,16.92,1
20756,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-09-03,16.92,0
