id,user_id,name,date,amount,recurring
15,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,AT&T,2024-10-06,65.12,1
66,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Bridgecrest,2023-02-27,350.0,0
78,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Brigit,2024-12-25,14.99,1
317,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Netflix,2024-05-02,17.54,1
318,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Netflix,2024-06-15,17.54,1
662,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2024-04-29,6.99,1
680,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2024-10-31,6.99,1
686,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2025-01-31,6.99,1
1165,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Subway,2024-10-07,7.62,0
1170,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Subway,2025-01-31,7.62,0
1433,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Credit Genie,2024-03-29,4.99,1
2062,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Up N Smoke & Vapor,2024-09-05,38.5,0
2293,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-10-04,6.48,0
2309,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-12-09,6.48,0
2317,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-01-22,6.48,0
2321,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-02-28,6.48,0
2351,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-11-18,6.48,1
2360,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-01-24,6.48,1
2372,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-06-11,6.48,1
3082,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Netflix,2025-01-21,24.89,1
3404,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Starbucks,2024-04-07,7.85,0
3406,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Starbucks,2024-05-20,7.85,0
4130,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Prime Video Channels   amzn.com/billWAUS,2024-09-16,10.59,0
4137,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Prime Video Channels   amzn.com/billWAUS,2024-10-01,10.59,0
4145,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Prime Video Channels   amzn.com/billWAUS,2024-11-13,10.59,1
8344,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft Xbox,2023-05-22,15.93,1
8346,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft Xbox,2023-07-20,15.93,1
8566,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Planet Fitness,2023-01-17,25.05,0
8581,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Planet Fitness,2024-02-01,39.0,1
8625,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Progressive Insurance,2025-01-16,904.22,1
11724,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Chick-fil-A,2024-04-27,28.42,0
12125,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2025-01-20,24.89,1
12209,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-06-15,9.99,0
12216,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-11-15,9.99,1
13763,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE      888-863-8768 WAUS,2024-09-03,130.11,1
13892,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,Palmdale Water,2024-04-09,203.0,0
14310,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,Vip Car Wash,2024-04-12,19.99,1
14635,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Albert,2024-10-15,9.99,0
14640,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Albert,2024-11-19,9.99,0
14663,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Amazon Prime,2022-11-14,14.99,1
14664,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Amazon Prime,2022-12-12,14.99,1
14665,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Amazon Prime,2023-01-12,14.99,1
14667,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Amazon Prime,2023-03-13,14.99,1
14672,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2022-11-14,9.99,1
14674,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2022-12-12,10.99,0
14677,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-01-11,10.99,0
14681,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-02-13,10.99,0
15590,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Playa Bowls,2023-06-12,13.91,0
15591,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Playa Bowls,2023-06-23,13.91,0
15593,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Playa Bowls,2023-08-21,13.91,0
15596,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Playa Bowls,2024-01-24,13.91,0
15597,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Playa Bowls,2024-04-04,13.91,0
15653,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Prudential,2024-09-09,46.0,1
16199,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Boost Mobile,2022-12-27,35.0,1
16865,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Money Lion,2024-04-05,6.0,0
16957,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Social Security Administration,2024-12-29,644.67,1
17605,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Netflix,2024-10-03,0.39,0
20721,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-25,13.07,0
20725,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-07-11,16.92,1
20755,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-09-03,16.92,1
14,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,AT&T,2024-08-08,30.12,1
67,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Bridgecrest,2023-03-22,1025.66,0
76,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Brigit,2024-11-15,53.99,0
83,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Brigit,2025-01-24,14.99,1
320,CyNIlRzSHZkWFhFyMgzpNizifNQFtJHT,Netflix,2024-10-10,8.32,1
2247,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Albert,2023-05-02,10.0,0
2301,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-11-05,6.48,0
2308,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-12-09,6.48,1
2320,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-02-28,6.48,1
2327,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-03-26,6.48,1
2331,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-05-03,6.48,1
2353,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-11-27,6.48,0
2365,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-03-20,6.48,1
3385,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Spectrum,2023-07-26,54.08,1
3688,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Amazon Prime           Amzn.com/billWAUS,2024-11-03,7.41,0
3689,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Amazon Prime           Amzn.com/billWAUS,2024-11-09,7.41,1
4142,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Prime Video Channels   amzn.com/billWAUS,2024-10-13,10.59,1
4622,QFjGXqKHwdsLSAXaTjOfKRIaOxIQwYmL,Amazon Prime,2024-10-04,16.04,0
4740,QFjGXqKHwdsLSAXaTjOfKRIaOxIQwYmL,Cleo AI,2024-09-26,14.99,1
5018,QFjGXqKHwdsLSAXaTjOfKRIaOxIQwYmL,Kroger Fuel,2024-11-30,25.0,0
8322,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2023-02-07,15.93,1
8323,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2023-03-07,15.93,1
8565,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Planet Fitness,2023-01-04,10.0,0
9140,UoPxjlAqNUFzBVUqaZybwlkRDknvbsKl,Amazon Prime,2024-09-09,8.25,1
11863,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Hulu 877-8244858 CA    HULU.COM/BILLCAUS,2024-09-21,22.71,0
11873,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,KLARNA* NORWEGIAN CRU  +18445527621 OHUS,2024-09-19,293.06,0
11917,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Klarna,2024-05-24,7.99,0
11921,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Klarna,2024-06-14,56.01,0
11924,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Klarna,2024-06-25,7.99,0
11929,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,Klarna,2024-07-25,7.99,0
12114,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2024-09-20,24.89,1
12115,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2024-10-20,24.89,1
12116,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PAYPAL *NETFLIX.COM    4029357733   CAUS,2024-11-20,24.89,1
12220,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-12-15,9.99,1
12352,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,SP+AFF * SEASON 2 CONS 855-423-3729 CAUS,2024-11-20,106.83,0
12483,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,T-MOBILE WEB PAYMENT   BELLEVUE     WAUS,2024-05-03,49.41,1
12485,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,T-MOBILE WEB PAYMENT   BELLEVUE     WAUS,2024-09-12,121.98,1
13764,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE MOBI 888-863-8768 WAUS,2024-10-29,28.91,1
14671,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2022-10-13,9.99,1
14680,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-02-13,10.99,1
14682,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-03-13,10.99,1
14685,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-06-08,10.99,0
14693,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-12-11,10.99,1
14694,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2024-01-09,10.99,0
14695,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2024-02-09,10.99,0
14703,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2024-10-09,10.99,1
14704,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2024-11-12,10.99,1
14706,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2025-01-09,10.99,1
15571,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Planet Fitness,2022-11-17,22.06,1
15651,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Progressive Insurance,2024-04-22,233.54,1
16998,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,AT&T,2023-06-01,146.55,1
17240,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Brigit,2025-02-03,14.99,0
17248,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Carol's Market & Deli,2023-08-24,9.64,0
17292,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Cleo AI,2025-02-03,14.99,0
19427,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Apple,2024-08-05,0.99,0
20719,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-20,16.14,1
20726,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-07-12,16.92,0
20754,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-09-03,8.46,1
653,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2023-08-02,3.99,1
658,FiWxaQadrRNYdaTvHNTdkQeoHyhRXCNq,Cleo AI,2024-01-02,3.99,1
1840,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Oportun Financial,2024-07-15,5.0,0
1845,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Oportun Financial,2024-12-16,5.0,0
1986,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Spotify,2022-08-19,14.03,1
1987,GSlrTBojohFvbFaOruahbzuhqTsiNCNa,Spotify,2022-10-07,14.03,1
2268,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-05-12,9.99,1
2269,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-05-18,6.48,0
2275,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-06-24,9.99,1
2278,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-07-21,9.99,1
2286,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-08-12,9.99,1
2289,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-08-31,6.48,1
2291,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-10-03,6.48,1
2295,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-10-04,9.99,1
2300,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2022-11-04,6.48,1
2315,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-01-21,6.48,1
2354,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-12-09,9.99,1
2355,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2023-12-23,6.48,1
2359,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-01-24,6.48,0
2376,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Apple,2024-08-06,6.48,0
2734,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,GEICO,2022-05-13,254.13,1
3572,KBiGPkDOaNupnOzqVlGReRreGCpbgDBG,Whataburger,2022-11-03,11.46,0
3687,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Amazon Prime           Amzn.com/billWAUS,2024-11-03,7.41,1
4090,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,NETFLIX.COM            NETFLIX.COM  CAUS,2024-08-15,16.73,1
4129,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,Prime Video Channels   amzn.com/billWAUS,2024-09-13,10.59,1
4230,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,SHEIN.COM              NEW YORK     NYUS,2025-01-12,19.4,0
4231,LwSdCHLnjkZhVJZgxhrLOQzEHTPWVmQN,SHEIN.COM              NEW YORK     NYUS,2025-01-12,19.4,0
7958,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,GEICO,2023-07-24,298.02,1
7959,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,GEICO,2023-08-21,298.04,1
8321,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2023-01-09,15.93,0
8327,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2024-02-09,11.46,1
8328,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2024-02-09,11.46,1
8339,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Microsoft,2024-08-15,18.05,0
8374,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Netflix,2023-01-03,19.99,1
8387,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Netflix,2024-02-26,38.97,1
8567,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Planet Fitness,2023-02-01,39.0,0
8580,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Planet Fitness,2024-01-17,33.0,1
8669,TjhPuOcMfWsKUbZBOKZJUuwVDNkLZhdm,Sandy Pines Campground,2023-09-28,12.21,0
9139,UoPxjlAqNUFzBVUqaZybwlkRDknvbsKl,Amazon Prime,2024-08-08,8.25,1
10679,UoPxjlAqNUFzBVUqaZybwlkRDknvbsKl,Pbc Auburn Wa,2024-11-07,3.0,0
12205,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-05-15,9.99,1
12208,VMoUOjchVBmLnzbinxlIHCXCsEDBubDM,PP*APPLE.COM/BILL      4029357733   CAUS,2024-06-15,9.99,1
13765,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE MOBI 888-863-8768 WAUS,2024-11-11,64.09,1
13767,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,METRO BY T-MOBILE MOBI 888-863-8768 WAUS,2024-12-10,100.0,1
13895,WJqbWvXCIsTcIQDgqXCssXBxYpKJfKTm,Palmdale Water,2024-06-24,80.0,0
14673,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2022-11-14,9.99,0
14683,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Apple,2023-03-13,10.99,0
15570,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Planet Fitness,2022-10-17,22.06,0
15652,XCRgOLSCHXgTyamMKZkZOOiuZviLzhjP,Progressive Insurance,2024-05-07,64.06,0
16198,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Boost Mobile,2022-11-27,35.0,1
16685,YYydGejKDXVdyAyGbscOvZWOJElQFyjD,Hulu,2024-11-05,12.98,1
17210,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Brigit,2024-05-01,9.99,1
17213,aafVoaXYozaNgZtDaEIuSKzPkMxkedxF,Brigit,2024-06-03,9.99,1
18684,cQWHdxqCuWASVYQykFBBqoXDyNXJkvGc,Down The Hatch,2024-08-03,20.0,0
18685,cQWHdxqCuWASVYQykFBBqoXDyNXJkvGc,Down The Hatch,2024-08-06,20.0,0
20717,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-17,24.21,0
20720,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-06-20,16.14,0
20735,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-07-25,8.46,0
20756,qClsGOeZmkwCmbaqEgMIyiCAjiqvaNeU,Hugo Insurance,2024-09-03,16.92,0
