id,user_id,name,date,amount,recurring
162,ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,Arby's,2024-06-07,12.71,0
388,ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,Continental Services,2024-08-27,1.65,0
390,ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,Continental Services,2024-09-21,1.65,0
1927,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,CSC Serviceworks,2023-08-19,2.0,0
1928,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,CSC Serviceworks,2023-08-21,2.0,0
1929,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,CSC Serviceworks,2023-08-25,2.0,0
1930,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,CSC Serviceworks,2023-09-12,2.0,0
1931,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,CSC Serviceworks,2023-09-30,2.0,0
2128,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Goosuper,2023-02-06,23.3,0
2129,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Goosuper,2023-02-09,23.3,0
2505,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Albert,2024-08-30,14.99,1
3047,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Crossroads Pub & Grill,2023-12-15,38.51,0
3048,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Crossroads Pub & Grill,2024-01-16,38.51,0
3405,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Great Clips,2023-10-17,29.0,0
3406,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Great Clips,2023-12-12,29.0,0
3426,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Harbor Freight Tools,2023-11-01,21.49,0
3927,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Plexus Worldwide,2023-06-06,137.91,0
4164,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Ssp Waste Inc,2024-06-25,160.0,0
4417,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Trashbilling,2024-01-09,121.4,1
4460,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Walk-in Chiropract,2023-02-28,70.0,0
4461,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Walk-in Chiropract,2023-04-28,70.0,0
4569,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Zandi K Salon West LLC,2023-06-26,85.28,0
4570,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Zandi K Salon West LLC,2023-07-24,10.0,0
4571,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Zandi K Salon West LLC,2023-08-21,85.28,0
4572,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Zandi K Salon West LLC,2023-10-13,85.28,0
