id,user_id,name,date,amount,recurring
371,ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,Cleo AI,2024-06-12,5.99,1
373,ABiSypnDBxaaMQbGEZQUQAJHyrAMjVlQ,Cleo AI,2024-07-05,5.99,1
1914,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Amazon,2025-02-03,16.23,1
2073,AhsWDTKwjnUVYiiDLaxnlCdhzJwYnfNY,Dave,2024-11-07,10.0,1
2493,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,AT&T,2023-05-02,318.24,1
2494,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,AT&T,2023-05-12,318.24,1
2495,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,AT&T,2023-05-26,188.32,1
2497,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,AT&T,2024-01-23,178.03,1
2989,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Cobblestone Wash,2024-02-05,10.0,1
2995,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Cobblestone Wash,2024-04-04,10.0,1
3489,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Imi Motorsports Inc,2023-08-03,52.0,1
4165,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Ssp Waste Inc,2024-06-27,136.0,1
4168,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Stamps.com,2023-06-27,19.99,1
4169,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Stamps.com,2023-07-25,19.99,1
4539,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xcel Energy,2023-08-16,333.41,1
4541,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xcel Energy,2023-09-15,181.45,1
4542,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xcel Energy,2023-11-06,137.32,1
4546,AorMxqNncYwQvaJKyznWlKdTUkvkiPYV,Xfinity,2024-04-09,103.68,1
6454,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Amazon,2024-06-05,16.19,0
6919,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Disney+,2023-05-27,19.99,1
7149,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,HBO Max,2023-09-09,15.99,1
7795,BJDvQSOtUvdxctxBlAwGfCLbhsujJTYg,Root Insurance,2024-03-20,162.66,1
8361,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Albert,2024-04-11,14.99,1
8364,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Albert,2024-05-24,14.99,1
8370,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Albert,2024-10-17,14.99,1
10115,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Verizonwrlss Rtccr,2024-02-02,95.8,1
10116,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Verizonwrlss Rtccr,2024-03-01,95.83,1
10174,BOIvaZauUjTiGOyNbvHEFPclvepBaqRa,Wix,2022-05-20,33.0,1
10212,BQcyLdmAQcSWFBrAAdMZugxVHjNqUCUv,AT&T,2024-09-20,152.61,1
12206,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Disney,2024-12-04,15.99,1
12610,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Klarna,2023-06-27,31.25,1
12611,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Klarna,2023-07-12,31.25,1
12612,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Klarna,2023-07-27,31.25,1
12613,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,Klarna,2023-12-29,59.02,1
13056,DNnhJnMUwJQXtsIZMHSDVjDMyHPvSyTM,State Farm,2024-07-31,283.92,0
13896,DqDyFkpGMzbjzFHBfjfFEhhUHtzAEiRS,Metro By T Mobile Mobi,2024-04-26,64.55,1
14492,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,Creative S,2023-03-09,84.0,1
15243,EFEULcwXwcWTwZmddfjPTvBYubtpaeXD,T-Mobile,2023-03-09,110.0,1
15998,EQutQVPiZrhrMmaLVXKWZyEqabKpKFIE,Metro by T-Mobile,2024-07-15,68.0,1
16062,EQutQVPiZrhrMmaLVXKWZyEqabKpKFIE,Planet Fitness,2024-07-18,25.05,1
16065,EQutQVPiZrhrMmaLVXKWZyEqabKpKFIE,Planet Fitness,2024-08-18,25.05,1
16424,EwWsuczcfXfxvCjaxWAXCYJYMAixZWyq,Affirm,2024-04-18,30.19,1
